"","vertex","Lon.50.","Lat.50.","node.type","node.type.num","prop.ab.central","prop.ab.eastern","prop.ab.northwestern","prop.ab.western","n.central","n.eastern","n.northwestern","n.western","r.abundance.at.cluster","n.individuals.at.cluster","shape_single","shape_single_breeding","shape_multiple","shape_colour_single","shape_colour_single_breeding","use.breeding.ab","use.nonbreeding.ab","use.stopover.ab"
"1",1,-143.744689799494,64.8025072163882,"Stopover",2,0,0,0.027805522265746,0,0,0,4,0,0.027805522265746,4,"circle","none","none","#F0E442",NA,0,0,0.027805522265746
"2",2,-93.2950057034363,55.642714482423,"Stopover",2,0.125144190251495,0,0.041708283398619,0.00544455030177777,3,0,6,1,0.172297023951892,10,"none","none","pie",NA,NA,0,0,0.172297023951892
"3",3,-78.05947992889,35.3,"Stopover",2,0.292003110586822,0.0575011127036129,0.055611044531492,0.0272227515088889,6,2,6,5,0.432338019330816,19,"none","none","pie",NA,NA,0,0,0.432338019330816
"4",4,-123.071970192879,56.3457602188697,"Stopover",2,0,0,0.0208541416993095,0.0272227515088889,0,0,3,5,0.0480768932081984,8,"none","none","pie",NA,NA,0,0,0.0480768932081984
"5",5,-72.637051731175,41.45,"Stopover",2,0.125144190251495,0.345006676221678,0.027805522265746,0.00544455030177777,3,12,4,1,0.503400939040696,20,"none","none","pie",NA,NA,0,0,0.503400939040696
"6",6,-81.6291326134426,47.6505049307778,"Stopover",2,0.125144190251495,0,0.041708283398619,0.0217782012071111,3,0,6,4,0.188630674857225,13,"none","none","pie",NA,NA,0,0,0.188630674857225
"7",7,-63.9563273907675,44.77,"Stopover",2,0,0.172503338110839,0,0,0,6,0,0,0.172503338110839,6,"circle","none","none","#009E73",NA,0,0,0.172503338110839
"8",8,-70.4814447228693,8.97652211197308,"Nonbreeding",3,0.0834294601676634,0.287505563518065,0.055611044531492,0.0163336509053333,2,10,8,3,0.442879719122553,23,"none","none","pie",NA,NA,0,0.265706387732695,0.177173331389859
"9",9,-62.8522607552897,3.48527536510173,"Nonbreeding",3,0.166858920335327,0.0287505563518065,0.055611044531492,0.0381118521124444,4,1,8,7,0.28933237333107,20,"none","none","pie",NA,NA,0,0.260581816979263,0.0287505563518065
"10",10,-67.0192329471321,3.61531308946411,"Nonbreeding",3,0.125144190251495,0.143752781759032,0.027805522265746,0.0163336509053333,3,5,4,3,0.313036145181607,15,"none","none","pie",NA,NA,0,0.246529553361346,0.0665065918202602
"11",11,-71.3657761063611,2.53132030748795,"Nonbreeding",3,0.0834294601676634,0.143752781759032,0,0.0108891006035555,2,5,0,2,0.238071342530251,9,"none","none","pie",NA,NA,0,0.227182241926696,0.0108891006035555
"12",12,-80.584165604978,26.3439396089436,"Stopover",2,0.0417147300838317,0,0.0069513805664365,0.0163336509053333,1,0,1,3,0.0649997615556015,5,"none","none","pie",NA,NA,0,0,0.0649997615556015
"13",13,-72.2591501305839,18.9,"Stopover",2,0.0417147300838317,0.373757232573484,0.013902761132873,0,1,13,2,0,0.429374723790189,16,"none","none","pie",NA,NA,0,0,0.429374723790189
"14",14,-66.5476385306773,18.2358251781985,"Stopover",2,0,0.115002225407226,0,0.00544455030177777,0,4,0,1,0.120446775709004,5,"none","none","pie",NA,NA,0,0,0.120446775709004
"15",15,-129.8574554,58.16343635,"Breeding",1,0,0,0,0.0163336509053333,0,0,0,3,0.0163336509053333,3,"none","square","none",NA,"#D55E00",0.0163336509053333,0,0
"16",16,-93.8313,58.71955,"Breeding",1,0.292003110586822,0,0,0,7,0,0,0,0.292003110586822,7,"none","square","none",NA,"#0072B2",0.292003110586822,0,0
"17",17,-149.416795,63.722625,"Breeding",1,0,0,0.041708283398619,0,0,0,6,0,0.041708283398619,6,"none","square","none",NA,"#F0E442",0.041708283398619,0,0
"18",18,-72.815699,44.528354,"Breeding",1,0,0.0862516690554194,0,0,0,3,0,0,0.0862516690554194,3,"none","square","none",NA,"#009E73",0.0862516690554194,0,0
"19",19,-56.225,49.45833,"Breeding",1,0,0.0575011127036129,0,0,0,2,0,0,0.0575011127036129,2,"none","square","none",NA,"#009E73",0.0575011127036129,0,0
"20",20,-163.71321,64.82774,"Breeding",1,0,0,0.0347569028321825,0,0,0,5,0,0.0347569028321825,5,"none","square","none",NA,"#F0E442",0.0347569028321825,0,0
"21",21,-114.420252,62.432741,"Breeding",1,0.0417147300838317,0,0,0,1,0,0,0,0.0417147300838317,1,"none","square","none",NA,"#0072B2",0.0417147300838317,0,0
"22",22,-65.8820445,43.4367935,"Breeding",1,0,0.0575011127036129,0,0,0,2,0,0,0.0575011127036129,2,"none","square","none",NA,"#009E73",0.0575011127036129,0,0
"23",23,-71.08716,47.38339,"Breeding",1,0,0.345006676221678,0,0,0,12,0,0,0.345006676221678,12,"none","square","none",NA,"#009E73",0.345006676221678,0,0
"24",24,-132.311396,60.066092,"Breeding",1,0,0,0,0.0272227515088889,0,0,0,5,0.0272227515088889,5,"none","square","none",NA,"#D55E00",0.0272227515088889,0,0
