"","vertex","Lon.50.","Lat.50.","node.type","node.type.num","prop.ab.central","prop.ab.eastern","prop.ab.northwestern","prop.ab.western","n.central","n.eastern","n.northwestern","n.western","r.abundance.at.cluster","n.individuals.at.cluster","shape_single","shape_single_breeding","shape_multiple","shape_colour_single","shape_colour_single_breeding","use.breeding.ab","use.nonbreeding.ab","use.stopover.ab"
"1",1,-143.744689799494,64.8025072163882,"Stopover",2,0,0,0.027805522265746,0,0,0,4,0,0.027805522265746,4,"circle","none","none","#F0E442",NA,0,0,0.027805522265746
"2",2,-93.2950057034363,55.642714482423,"Stopover",2,0.125144190251495,0,0.041708283398619,0.00544455030177777,3,0,6,1,0.172297023951892,10,"none","none","pie",NA,NA,0,0,0.172297023951892
"3",3,-78.05947992889,35.3,"Stopover",2,0.292003110586822,0.0575011127036129,0.055611044531492,0.0272227515088889,6,2,6,5,0.432338019330816,19,"none","none","pie",NA,NA,0,0,0.432338019330816
"4",4,-123.071970192879,56.3457602188697,"Stopover",2,0,0,0.0208541416993095,0.0272227515088889,0,0,3,5,0.0480768932081984,8,"none","none","pie",NA,NA,0,0,0.0480768932081984
"5",5,-72.417169659572,41.45,"Stopover",2,0.125144190251495,0.316256119869871,0.027805522265746,0.00544455030177777,3,11,4,1,0.47465038268889,19,"none","none","pie",NA,NA,0,0,0.47465038268889
"6",6,-81.6291326134426,47.6505049307778,"Stopover",2,0.125144190251495,0,0.041708283398619,0.0217782012071111,3,0,6,4,0.188630674857225,13,"none","none","pie",NA,NA,0,0,0.188630674857225
"7",7,-63.9563273907675,44.77,"Stopover",2,0,0.172503338110839,0,0,0,6,0,0,0.172503338110839,6,"circle","none","none","#009E73",NA,0,0,0.172503338110839
"8",8,-70.7415990434703,9.28083549367531,"Nonbreeding",3,0.0834294601676634,0.258755007166258,0.041708283398619,0.0163336509053333,2,9,6,3,0.400226401637874,20,"none","none","pie",NA,NA,0,0.258755007166258,0.141471394471616
"9",9,-61.9981839554292,4.97018867590377,"Nonbreeding",3,0,0.0287505563518065,0.0347569028321825,0.0326673018106666,0,1,5,6,0.0961747609946556,12,"none","none","pie",NA,NA,0,0.0674242046428492,0.0287505563518065
"10",10,-64.7341580630623,0.889333014767012,"Nonbreeding",3,0.166858920335327,0.0287505563518065,0.0347569028321825,0.0108891006035555,4,1,5,2,0.241255480122871,12,"none","none","pie",NA,NA,0,0.228859549254657,0.0123959308682143
"11",11,-67.8013385665373,4.88463494964414,"Nonbreeding",3,0.0834294601676634,0.143752781759032,0.0347569028321825,0.0108891006035555,2,5,5,2,0.272828245362434,14,"none","none","pie",NA,NA,0,0.21777899700954,0.0550492483528937
"12",12,-71.3657761063611,2.53132030748795,"Nonbreeding",3,0.0834294601676634,0.143752781759032,0,0.0108891006035555,2,5,0,2,0.238071342530251,9,"none","none","pie",NA,NA,0,0.227182241926696,0.0108891006035555
"13",13,-80.584165604978,26.3439396089436,"Stopover",2,0.0417147300838317,0,0.0069513805664365,0.0163336509053333,1,0,1,3,0.0649997615556015,5,"none","none","pie",NA,NA,0,0,0.0649997615556015
"14",14,-72.2591501305839,18.9,"Stopover",2,0.0417147300838317,0.345006676221678,0.013902761132873,0,1,12,2,0,0.400624167438382,15,"none","none","pie",NA,NA,0,0,0.400624167438382
"15",15,-66.4943789857244,18.2258619128425,"Stopover",2,0,0.0862516690554194,0,0.00544455030177777,0,3,0,1,0.0916962193571972,4,"none","none","pie",NA,NA,0,0,0.0916962193571972
"16",16,-129.8574554,58.16343635,"Breeding",1,0,0,0,0.0163336509053333,0,0,0,3,0.0163336509053333,3,"none","square","none",NA,"#D55E00",0.0163336509053333,0,0
"17",17,-93.8313,58.71955,"Breeding",1,0.292003110586822,0,0,0,7,0,0,0,0.292003110586822,7,"none","square","none",NA,"#0072B2",0.292003110586822,0,0
"18",18,-149.416795,63.722625,"Breeding",1,0,0,0.041708283398619,0,0,0,6,0,0.041708283398619,6,"none","square","none",NA,"#F0E442",0.041708283398619,0,0
"19",19,-72.815699,44.528354,"Breeding",1,0,0.0862516690554194,0,0,0,3,0,0,0.0862516690554194,3,"none","square","none",NA,"#009E73",0.0862516690554194,0,0
"20",20,-56.225,49.45833,"Breeding",1,0,0.0575011127036129,0,0,0,2,0,0,0.0575011127036129,2,"none","square","none",NA,"#009E73",0.0575011127036129,0,0
"21",21,-163.71321,64.82774,"Breeding",1,0,0,0.0347569028321825,0,0,0,5,0,0.0347569028321825,5,"none","square","none",NA,"#F0E442",0.0347569028321825,0,0
"22",22,-114.420252,62.432741,"Breeding",1,0.0417147300838317,0,0,0,1,0,0,0,0.0417147300838317,1,"none","square","none",NA,"#0072B2",0.0417147300838317,0,0
"23",23,-65.8820445,43.4367935,"Breeding",1,0,0.0575011127036129,0,0,0,2,0,0,0.0575011127036129,2,"none","square","none",NA,"#009E73",0.0575011127036129,0,0
"24",24,-71.08716,47.38339,"Breeding",1,0,0.345006676221678,0,0,0,12,0,0,0.345006676221678,12,"none","square","none",NA,"#009E73",0.345006676221678,0,0
"25",25,-132.311396,60.066092,"Breeding",1,0,0,0,0.0272227515088889,0,0,0,5,0.0272227515088889,5,"none","square","none",NA,"#D55E00",0.0272227515088889,0,0
