cluster,next.cluster,geo_id,StartTime,EndTime,Lon.50.,Lon.2.5.,Lon.97.5.,Lat.50.,Lat.2.5.,Lat.97.5.,sitenum,duration,period,geo.id2,band.id,animal.id,animal.taxon,deploy.on.date,deploy.on.time_GMT,deploy.off.date,deploy.off.time,lig.estimated.deploy.day,lig.estimated.recovery.day,animal.latest.date.born,animal.life.stage,Age.status,Wing.cord.mm,animal.mass,animal.sex,animal.taxon.detail,attachment.type,deploy.latitude,deploy.longitude,recovery.latitude,recovery.longitude,deployment.comments,deployment.end.type,manipulation.type,study.site,deploy.range,tag.comments,study.site.specification,tag.manufacturer.name,tag.mass,tag.model,tag.readout.method,tag.serial.no,Study,preliminary_analysis,recording_interval_seconds,light_threshold,Time_shift_hours,Recorded_North_South_mig,Light_Data_Available,Time_shift,In_habitat_median_zenith_angle,Hill_Ekstrom_median_angle,tol,MCMC.iter,MCMC.thin,MCMC.chains,changeLight.days,changelight.quantile,mergesites.distance,stat.nbr.limit,path.elongated,Insert_twilights,Range_region,Fall_carrib_edits,Clock_drift_edits,mod.deploy.lon,mod.deploy.lat,nbr.arrival,nbr.departure,spring.equinox.year,spring.equinox.date,Recaptured,IH.calib.start,IH.calib.end,IH.calib.start2,IH.calib.end2,Zenith0_adjustment,br.departure,br.arrival,br.departure.woodsworth,br.arrival.woodsworth,nbr.arrival.woodsworth,nbr.departure.woodsworth,X,First.trans.flight.start,first.trans.flight.start,First.trans.flight.start.1,first.trans.flight.start.1,light.review.quality,Breeding_region_MC,site_type,IQR.lon.dist,IQR.lat.dist,fall.br.departure,spring.br.arrival,NB_count,year.difference,NB.last.site.arrival,sorted.num
15,14,3254_001,NA,NA,-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,1,NA,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-18T13:37:31Z,NA,NA,0,NA,15
14,12,3254_001,2016-10-28T21:58:42Z,2017-04-11T09:46:58Z,-57.244666503842204,-57.870052654462484,-56.419751517627184,5.815659566304401,4.961566202456717,6.4251740587843,7,164.49185185185183,Non-breeding period,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Nonbreeding,160615.78179806186,162928.0812874213,2016-08-18T13:37:31Z,NA,1,0,2016-10-28T21:58:42Z,14
12,9,3254_001,2017-04-12T22:06:59Z,2017-04-18T22:20:31Z,-61.554000013779884,-65.3754312909064,-57.68595501712398,5.273540294024013,-2.3845613333850353,9.88313205016281,8,6.009398148148148,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,852359.9838134211,1365633.3806645577,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,12
9,6,3254_001,2017-04-20T23:13:47Z,2017-04-23T23:19:18Z,-71.10485790609965,-73.64745339219145,-68.66625631210117,18.845651518014652,18.09952169318095,19.754343738039054,9,3.0038292378932234,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,524761.3033521936,184213.947387088,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,9
6,3,3254_001,2017-04-28T10:39:04Z,2017-05-05T00:45:58Z,-87.36142490508453,-90.99005459170326,-83.19924949187975,33.24474066322982,30.635201609673185,40.02511332294705,11,6.588129960312335,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,725160.1067096672,1045280.1905154415,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,6
3,15,3254_001,2017-05-06T10:42:15Z,2017-05-13T01:35:34Z,-91.8007068405038,-96.4700214800868,-87.68229312870197,37.21381633647556,33.96754235044899,42.621337233630065,12,6.620352182534558,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Stopover,778779.4283684959,963336.0398251538,2016-08-18T13:37:31Z,NA,NA,0,2016-10-28T21:58:42Z,3
15,NA,3254_001,2017-05-23T10:17:43Z,2017-05-25T10:07:14Z,-163.71321,-163.71321,-163.71321,64.82774,64.820971,64.820971,14,1.9927199074074073,Pre-breeding migration,,2740-82912,NA,Setophaga,2016-06-14,13:41:00,2017-06-10,NA,2016-06-14,2017-06-10,,AHY,Adult,75,12.73,Male,striata,harness,64.820971,-163.71321,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.97459648,93,0.01,1000,20,3,1,0.86,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-28,2017-04-11,2017,2017-03-20,No,2016-08-10T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,0,2016-08-22,2017-05-29,2016-07-25 0:00,2017-05-29 0:00,2016-10-31,2017-04-08,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-18T13:37:31Z,NA,NA,0,NA,15
15,14,3254_008,NA,NA,-163.71321,-163.7117,-163.7117,64.82774,64.83017,64.83017,1,NA,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Breeding,0,0,2016-08-25T06:44:59Z,NA,NA,0,NA,15
14,12,3254_008,2016-10-26T22:02:03Z,2017-04-04T09:47:43Z,-58.295308885934304,-58.388109062941325,-58.18885644907768,1.241877718266384,0.7774843288064567,1.7007194745894851,9,159.4900462962963,Non-breeding period,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Nonbreeding,22175.48947422682,102774.06631102043,2016-08-25T06:44:59Z,NA,1,0,2016-10-26T22:02:03Z,14
12,9,3254_008,2017-04-05T22:06:09Z,2017-04-18T22:35:35Z,-63.64076982563107,-64.60677105416825,-62.63708442821006,2.201811010004337,-2.553999980702844,7.562195353996374,10,13.020439814814814,Pre-breeding migration,,2740-82911,NA,Setophaga,2016-06-14,12:46:00,2017-06-05,NA,2016-06-14,2017-06-05,,AHY,Adult,76,12.46,Male,striata,harness,64.83017,-163.7117,NA,NA,,,,"Nome, Alaska",Breeding,,,Biotrack,?,MK-6,,,Deluca et al. 2019,No,120,NA,NA,Both,Yes,No,92.39717321,92.75,0.085,1000,20,3,1,0.8,250,14,TRUE,No,Western,FALSE,FALSE,-163.71321,64.82774,2016-10-26,2017-04-04,2017,2017-03-20,No,2016-08-01T04:00:00Z,2016-08-20T04:00:00Z,NA,NA,2,2016-08-25,2017-05-29,2016-10-30,2017-04-06,2016-10-30,2017-06-03 0:00,NA,,,,,,Northwestern Region,Stopover,219102.61386577715,1126129.7134240067,2016-08-25T06:44:59Z,NA,NA,0,2016-10-26T22:02:03Z,12
