"","geo_id","mean.lon","mean.lat","mean.lon2.5","mean.lat2.5","mean.lon97.5","mean.lat97.5"
"1","3254_001",-57.2446665038422,5.8156595663044,-57.8700526544625,6.4251740587843,-57.8700526544625,6.4251740587843
"2","3254_008",-58.2953088859343,1.24187771826638,-58.3881090629413,1.70071947458949,-58.3881090629413,1.70071947458949
"3","3254_057",-63.3748989680868,2.5539017771124,-63.4539390361555,2.73510486789483,-63.4539390361555,2.73510486789483
"4","4068_014",-62.8533496570204,3.47032384770869,-63.105330425396,4.74607787248904,-63.105330425396,4.74607787248904
"5","4105_008",-69.2537501753702,0.605929854036355,-69.4855301793876,1.33875801477571,-69.4855301793876,1.33875801477571
"6","4105_009",-67.0192329471321,3.61531308946411,-67.0787429465488,3.82620155073408,-67.0787429465488,3.82620155073408
"7","4105_017",-64.7341580630623,0.889333014767012,-64.992755008935,1.7624110957978,-64.992755008935,1.7624110957978
"8","4210_002",-63.8720372107536,-1.50518027591197,-64.0206705548745,-0.789837965982636,-64.0206705548745,-0.789837965982636
"9","4210_004",-72.0845865179116,0.67226667818959,-72.3915021226293,1.79059132312159,-72.3915021226293,1.79059132312159
"10","B",-71.4820676696267,7.12985253822285,-71.6462290720232,7.81430511973526,-71.6462290720232,7.81430511973526
"11","E",-72.6815382881502,10.5455959767038,-73.0397819419054,11.585853392538,-73.0397819419054,11.585853392538
"12","V7638_001",-62.3341020110629,3.38700445454394,-62.3390716957186,3.4100496107923,-62.3390716957186,3.4100496107923
"13","V7638_009",-66.6418605938876,5.57913708637616,-66.9107958582454,6.36830610875005,-66.9107958582454,6.36830610875005
"14","V8296_008",-72.2116026052029,3.31890165895514,-72.5439076242676,5.37642850097844,-72.5439076242676,5.37642850097844
"15","V8296_017",-71.0790135528759,6.898981160433,-71.3080897509623,7.95503896895499,-71.3080897509623,7.95503896895499
"16","V8757_018",-70.3128946848916,11.1582205600169,-70.5516218055013,11.3288206704213,-70.5516218055013,11.3288206704213
"17","V8757_019",-64.1179443859546,3.17565937174112,-64.1400059586621,3.29424866127877,-64.1400059586621,3.29424866127877
"18","blpw09",-62.0028309496827,2.82502595593107,-62.2212395038308,3.66641307615104,-62.2212395038308,3.66641307615104
"19","blpw12",-64.2400754659678,4.90998016895665,-64.3664229479627,5.56913150309074,-64.3664229479627,5.56913150309074
"20","blpw25",-64.6662832206751,3.75521344244538,-65.1041834433643,5.23430617189489,-65.1041834433643,5.23430617189489
